date,week_of_year,ili_pct,is_spring_festival,is_golden_week,is_labor_day,is_holiday,vbp_10_active
2023-01-02,1,0.5,0,0,0,0,0
2023-01-09,2,1.71,0,0,0,0,0
2023-01-16,3,1.82,0,0,0,0,0
2023-01-23,4,1.58,1,0,0,1,0
2023-01-30,5,1.49,1,0,0,1,0
2023-02-06,6,2.26,1,0,0,1,0
2023-02-13,7,2.31,0,0,0,0,0
2023-02-20,8,2.68,0,0,0,0,0
2023-02-27,9,2.62,0,0,0,0,0
2023-03-06,10,2.07,0,0,0,0,0
2023-03-13,11,2.83,0,0,0,0,0
2023-03-20,12,2.98,0,0,0,0,0
2023-03-27,13,3.49,0,0,0,0,0
2023-04-03,14,3.1,0,0,0,0,0
2023-04-10,15,4.23,0,0,0,0,0
2023-04-17,16,2.99,0,0,0,0,0
2023-04-24,17,4.5,0,0,0,0,0
2023-05-01,18,4.13,0,0,1,1,0
2023-05-08,19,4.82,0,0,0,0,0
2023-05-15,20,4.76,0,0,0,0,0
2023-05-22,21,5.44,0,0,0,0,0
2023-05-29,22,5.06,0,0,0,0,0
2023-06-05,23,4.98,0,0,0,0,0
2023-06-12,24,6.14,0,0,0,0,0
2023-06-19,25,5.62,0,0,0,0,0
2023-06-26,26,5.77,0,0,0,0,0
2023-07-03,27,6.12,0,0,0,0,0
2023-07-10,28,5.08,0,0,0,0,0
2023-07-17,29,5.5,0,0,0,0,0
2023-07-24,30,4.71,0,0,0,0,0
2023-07-31,31,4.5,0,0,0,0,0
2023-08-07,32,4.12,0,0,0,0,0
2023-08-14,33,2.96,0,0,0,0,0
2023-08-21,34,2.68,0,0,0,0,0
2023-08-28,35,2.94,0,0,0,0,0
2023-09-04,36,2.14,0,0,0,0,0
2023-09-11,37,1.17,0,0,0,0,0
2023-09-18,38,0.73,0,0,0,0,0
2023-09-25,39,0.5,0,0,0,0,0
2023-10-02,40,0.5,0,1,0,1,0
2023-10-09,41,0.5,0,0,0,0,0
2023-10-16,42,0.5,0,0,0,0,0
2023-10-23,43,0.5,0,0,0,0,0
2023-10-30,44,0.5,0,0,0,0,0
2023-11-06,45,0.5,0,0,0,0,0
2023-11-13,46,0.5,0,0,0,0,0
2023-11-20,47,0.5,0,0,0,0,0
2023-11-27,48,0.5,0,0,0,0,0
2023-12-04,49,0.5,0,0,0,0,0
2023-12-11,50,0.5,0,0,0,0,0
2023-12-18,51,0.5,0,0,0,0,0
2023-12-25,52,0.5,0,0,0,0,0
2024-01-01,1,0.5,0,0,0,0,0
2024-01-08,2,0.98,0,0,0,0,0
2024-01-15,3,1.72,0,0,0,0,0
2024-01-22,4,1.7,1,0,0,1,0
2024-01-29,5,1.98,1,0,0,1,0
2024-02-05,6,1.62,1,0,0,1,0
2024-02-12,7,1.89,0,0,0,0,0
2024-02-19,8,3.1,0,0,0,0,0
2024-02-26,9,2.22,0,0,0,0,0
2024-03-04,10,3.29,0,0,0,0,0
2024-03-11,11,2.64,0,0,0,0,0
2024-03-18,12,2.86,0,0,0,0,0
2024-03-25,13,3.41,0,0,0,0,0
2024-04-01,14,3.64,0,0,0,0,0
2024-04-08,15,3.26,0,0,0,0,0
2024-04-15,16,3.35,0,0,0,0,0
2024-04-22,17,3.7,0,0,0,0,0
2024-04-29,18,4.1,0,0,0,0,0
2024-05-06,19,4.58,0,0,0,0,0
2024-05-13,20,4.48,0,0,0,0,0
2024-05-20,21,4.98,0,0,0,0,0
2024-05-27,22,5.62,0,0,0,0,0
2024-06-03,23,5.32,0,0,0,0,0
2024-06-10,24,5.44,0,0,0,0,0
2024-06-17,25,4.8,0,0,0,0,0
2024-06-24,26,4.38,0,0,0,0,0
2024-07-01,27,5.53,0,0,0,0,0
2024-07-08,28,5.2,0,0,0,0,0
2024-07-15,29,4.8,0,0,0,0,0
2024-07-22,30,4.8,0,0,0,0,0
2024-07-29,31,4.28,0,0,0,0,0
2024-08-05,32,4.29,0,0,0,0,0
2024-08-12,33,3.35,0,0,0,0,0
2024-08-19,34,2.44,0,0,0,0,0
2024-08-26,35,2.54,0,0,0,0,0
2024-09-02,36,1.45,0,0,0,0,0
2024-09-09,37,1.16,0,0,0,0,0
2024-09-16,38,0.5,0,0,0,0,0
2024-09-23,39,0.5,0,0,0,0,0
2024-09-30,40,0.5,0,0,0,0,0
2024-10-07,41,0.5,0,1,0,1,0
2024-10-14,42,0.5,0,0,0,0,0
2024-10-21,43,0.5,0,0,0,0,0
2024-10-28,44,0.5,0,0,0,0,0
2024-11-04,45,0.5,0,0,0,0,0
2024-11-11,46,0.5,0,0,0,0,0
2024-11-18,47,0.5,0,0,0,0,0
2024-11-25,48,0.5,0,0,0,0,0
2024-12-02,49,0.5,0,0,0,0,0
2024-12-09,50,0.5,0,0,0,0,0
2024-12-16,51,0.5,0,0,0,0,0
2024-12-23,52,0.5,0,0,0,0,0
2024-12-30,1,0.5,0,0,0,0,0
