sku_id,name_cn,name_en,atc1,atc2,atc3,atc4,therapeutic_area,demand_type,ili_elasticity,vbp_status,price_rmb,expiry_months,is_generic,is_demo_sku,base_demand_hospital,base_demand_chain,base_demand_independent,cv_hospital,cv_chain,cv_independent,vbp_shock_hospital,vbp_shock_chain,vbp_shock_independent
SKU_0001,氨氯地平片,Amlodipine,C,C08,C08CA,C08CA01,Cardiovascular,smooth,0.0,selected,8.5,36,1,0,120,80,40,0.15,0.25,0.4,0.6,-0.2,-0.15
SKU_0002,缬沙坦胶囊,Valsartan,C,C09,C09CA,C09CA03,Cardiovascular,smooth,0.0,selected,15.0,36,1,0,100,70,35,0.18,0.28,0.42,0.55,-0.18,-0.12
SKU_0003,美托洛尔缓释片,Metoprolol,C,C07,C07AB,C07AB02,Cardiovascular,smooth,0.0,na,22.0,36,1,0,90,60,30,0.16,0.26,0.38,0.0,0.0,0.0
SKU_0004,硝苯地平控释片,Nifedipine,C,C08,C08CA,C08CA05,Cardiovascular,smooth,0.0,selected,18.5,36,1,0,110,75,38,0.14,0.24,0.35,0.5,-0.15,-0.1
SKU_0005,阿司匹林肠溶片,Aspirin,B,B01,B01AC,B01AC06,Cardiovascular,seasonal,0.5,na,5.0,48,1,0,200,150,80,0.2,0.3,0.45,0.0,0.0,0.0
SKU_0006,氯吡格雷片,Clopidogrel,B,B01,B01AC,B01AC04,Cardiovascular,seasonal,0.3,selected,45.0,36,1,0,150,100,50,0.18,0.28,0.4,0.45,-0.12,-0.08
SKU_0007,伊伐布雷定片,Ivabradine,C,C01,C01EB,C01EB17,Cardiovascular,intermittent,0.0,na,120.0,36,0,0,15,10,5,0.8,1.0,1.5,0.0,0.0,0.0
SKU_0008,波生坦片,Bosentan,C,C02,C02KX,C02KX01,Cardiovascular,intermittent,0.0,na,280.0,24,0,0,8,5,2,1.0,1.2,1.8,0.0,0.0,0.0
SKU_0009,地高辛片,Digoxin,C,C01,C01AA,C01AA05,Cardiovascular,intermittent,0.0,na,35.0,48,1,0,20,12,6,0.7,0.9,1.3,0.0,0.0,0.0
SKU_0010,胺碘酮片,Amiodarone,C,C01,C01BD,C01BD01,Cardiovascular,intermittent,0.0,na,42.0,36,1,0,25,15,8,0.65,0.85,1.2,0.0,0.0,0.0
SKU_0011,利多卡因注射液,Lidocaine,C,C01,C01BB,C01BB01,Cardiovascular,intermittent,0.0,na,15.0,24,1,0,30,18,8,0.9,1.1,1.6,0.0,0.0,0.0
SKU_0012,米力农注射液,Milrinone,C,C01,C01CE,C01CE02,Cardiovascular,intermittent,0.0,na,180.0,24,1,0,5,3,1,1.2,1.5,2.0,0.0,0.0,0.0
SKU_0013,西地兰注射液,Cedilanid,C,C01,C01AA,C01AA04,Cardiovascular,intermittent,0.0,na,25.0,24,1,0,10,6,3,1.0,1.3,1.8,0.0,0.0,0.0
SKU_0014,酚妥拉明注射液,Phentolamine,C,C02,C02CA,C02CA02,Cardiovascular,intermittent,0.0,na,55.0,24,1,0,12,7,3,0.85,1.05,1.5,0.0,0.0,0.0
SKU_0015,阿托伐他汀钙片,Atorvastatin,C,C10,C10AA,C10AA05,Cardiovascular,shocked,0.0,selected,35.0,36,1,0,180,120,60,0.15,0.25,0.4,0.65,-0.22,-0.18
SKU_0016,瑞舒伐他汀钙片,Rosuvastatin,C,C10,C10AA,C10AA07,Cardiovascular,shocked,0.0,non_selected,68.0,36,0,0,140,100,50,0.18,0.28,0.45,-0.9,0.7,0.5
SKU_0017,阿莫西林胶囊,Amoxicillin,J,J01,J01CA,J01CA04,Antiinfectives,smooth,0.0,na,12.0,36,1,0,200,140,70,0.2,0.3,0.45,0.0,0.0,0.0
SKU_0018,头孢克洛胶囊,Cefaclor,J,J01,J01DC,J01DC04,Antiinfectives,smooth,0.0,na,28.0,36,1,0,160,110,55,0.22,0.32,0.48,0.0,0.0,0.0
