date,sku_id,pharmacy_type,demand_type,units_sold,week_of_year,ili_pct,is_holiday,vbp_10_active
2024-06-03,SKU_0001,hospital,smooth,117,23,5.7,0,0
2024-06-10,SKU_0001,hospital,smooth,128,24,5.63,0,0
2024-06-17,SKU_0001,hospital,smooth,155,25,6.0,0,0
2024-06-24,SKU_0001,hospital,smooth,125,26,6.33,0,0
2024-07-01,SKU_0001,hospital,smooth,127,27,5.66,0,0
2024-07-08,SKU_0001,hospital,smooth,122,28,5.52,0,0
2024-07-15,SKU_0001,hospital,smooth,89,29,5.93,0,0
2024-07-22,SKU_0001,hospital,smooth,124,30,5.34,0,0
2024-07-29,SKU_0001,hospital,smooth,126,31,4.51,0,0
2024-08-05,SKU_0001,hospital,smooth,169,32,4.4,0,0
2024-08-12,SKU_0001,hospital,smooth,122,33,3.53,0,0
2024-08-19,SKU_0001,hospital,smooth,131,34,2.96,0,0
2024-08-26,SKU_0001,hospital,smooth,125,35,2.61,0,0
2024-09-02,SKU_0001,hospital,smooth,105,36,1.25,0,0
2024-09-09,SKU_0001,hospital,smooth,147,37,0.72,0,0
2024-09-16,SKU_0001,hospital,smooth,140,38,0.57,0,0
2024-09-23,SKU_0001,hospital,smooth,140,39,0.5,0,0
2024-09-30,SKU_0001,hospital,smooth,109,40,0.5,0,0
2024-10-07,SKU_0001,hospital,smooth,136,41,0.5,1,0
2024-10-14,SKU_0001,hospital,smooth,100,42,0.5,0,0
2024-10-21,SKU_0001,hospital,smooth,136,43,0.5,0,0
2024-10-28,SKU_0001,hospital,smooth,164,44,0.5,0,0
2024-11-04,SKU_0001,hospital,smooth,106,45,0.5,0,0
2024-11-11,SKU_0001,hospital,smooth,114,46,0.5,0,0
2024-11-18,SKU_0001,hospital,smooth,125,47,0.5,0,0
2024-11-25,SKU_0001,hospital,smooth,114,48,0.5,0,0
2024-12-02,SKU_0001,hospital,smooth,95,49,0.5,0,0
2024-12-09,SKU_0001,hospital,smooth,123,50,0.5,0,0
2024-12-16,SKU_0001,hospital,smooth,102,51,0.5,0,0
2024-12-23,SKU_0001,hospital,smooth,130,52,0.5,0,0
2024-12-30,SKU_0001,hospital,smooth,104,1,0.66,0,0
2025-01-06,SKU_0001,hospital,smooth,148,2,1.85,0,0
2025-01-13,SKU_0001,hospital,smooth,106,3,1.5,0,0
2025-01-20,SKU_0001,hospital,smooth,99,4,1.41,1,0
2025-01-27,SKU_0001,hospital,smooth,119,5,2.31,1,0
2025-02-03,SKU_0001,hospital,smooth,82,6,1.81,1,0
2025-02-10,SKU_0001,hospital,smooth,109,7,2.48,1,0
2025-02-17,SKU_0001,hospital,smooth,142,8,1.88,0,0
2025-02-24,SKU_0001,hospital,smooth,90,9,2.23,0,0
2025-03-03,SKU_0001,hospital,smooth,122,10,2.88,0,0
2025-03-10,SKU_0001,hospital,smooth,124,11,3.18,0,0
2025-03-17,SKU_0001,hospital,smooth,133,12,3.1,0,0
2025-03-24,SKU_0001,hospital,smooth,97,13,3.13,0,0
2025-03-31,SKU_0001,hospital,smooth,96,14,3.22,0,0
2025-04-07,SKU_0001,hospital,smooth,130,15,2.98,0,1
2025-04-14,SKU_0001,hospital,smooth,126,16,3.44,0,1
2025-04-21,SKU_0001,hospital,smooth,126,17,3.76,0,1
2025-04-28,SKU_0001,hospital,smooth,128,18,4.53,0,1
2025-05-05,SKU_0001,hospital,smooth,96,19,4.54,1,1
2025-05-12,SKU_0001,hospital,smooth,127,20,4.06,0,1
2025-05-19,SKU_0001,hospital,smooth,129,21,5.05,0,1
2025-05-26,SKU_0001,hospital,smooth,111,22,5.03,0,1
2025-06-02,SKU_0001,hospital,smooth,158,23,5.13,0,1
2025-06-09,SKU_0001,hospital,smooth,134,24,5.74,0,1
2025-06-16,SKU_0001,hospital,smooth,105,25,5.98,0,1
2025-06-23,SKU_0001,hospital,smooth,139,26,5.97,0,1
2025-06-30,SKU_0001,hospital,smooth,110,27,5.3,0,1
2025-07-07,SKU_0001,hospital,smooth,142,28,5.34,0,1
2025-07-14,SKU_0001,hospital,smooth,149,29,5.34,0,1
2025-07-21,SKU_0001,hospital,smooth,114,30,5.26,0,1
2025-07-28,SKU_0001,hospital,smooth,147,31,4.36,0,1
2025-08-04,SKU_0001,hospital,smooth,137,32,3.99,0,1
2025-08-11,SKU_0001,hospital,smooth,145,33,3.15,0,1
2025-08-18,SKU_0001,hospital,smooth,165,34,2.55,0,1
2025-08-25,SKU_0001,hospital,smooth,126,35,2.66,0,1
2025-09-01,SKU_0001,hospital,smooth,117,36,2.24,0,1
2025-09-08,SKU_0001,hospital,smooth,115,37,1.15,0,1
2025-09-15,SKU_0001,hospital,smooth,116,38,0.96,0,1
2025-09-22,SKU_0001,hospital,smooth,129,39,0.5,0,1
2025-09-29,SKU_0001,hospital,smooth,137,40,0.5,0,1
2025-10-06,SKU_0001,hospital,smooth,121,41,0.5,1,1
2025-10-13,SKU_0001,hospital,smooth,145,42,0.5,0,1
2025-10-20,SKU_0001,hospital,smooth,130,43,0.5,0,1
2025-10-27,SKU_0001,hospital,smooth,156,44,0.5,0,1
2025-11-03,SKU_0001,hospital,smooth,124,45,0.5,0,1
2025-11-10,SKU_0001,hospital,smooth,178,46,0.5,0,1
2025-11-17,SKU_0001,hospital,smooth,139,47,0.5,0,1
2025-11-24,SKU_0001,hospital,smooth,112,48,0.5,0,1
2025-12-01,SKU_0001,hospital,smooth,108,49,0.5,0,1
2025-12-08,SKU_0001,hospital,smooth,135,50,0.5,0,1
2025-12-15,SKU_0001,hospital,smooth,122,51,0.5,0,1
2025-12-22,SKU_0001,hospital,smooth,139,52,0.5,0,1
2025-12-29,SKU_0001,hospital,smooth,134,1,1.24,0,1
2026-01-05,SKU_0001,hospital,smooth,124,2,0.87,0,1
2026-01-12,SKU_0001,hospital,smooth,109,3,1.07,0,1
2026-01-19,SKU_0001,hospital,smooth,97,4,1.46,0,1
2026-01-26,SKU_0001,hospital,smooth,102,5,2.2,1,1
2026-02-02,SKU_0001,hospital,smooth,125,6,2.2,1,1
2026-02-09,SKU_0001,hospital,smooth,113,7,2.07,1,1
2026-02-16,SKU_0001,hospital,smooth,101,8,2.59,0,1
2026-02-23,SKU_0001,hospital,smooth,127,9,2.57,0,1
2026-03-02,SKU_0001,hospital,smooth,131,10,2.99,0,1
2026-03-09,SKU_0001,hospital,smooth,108,11,2.52,0,1
2026-03-16,SKU_0001,hospital,smooth,127,12,2.77,0,1
2026-03-23,SKU_0001,hospital,smooth,125,13,2.88,0,1
2026-03-30,SKU_0001,hospital,smooth,104,14,2.66,0,1
2026-04-06,SKU_0001,hospital,smooth,131,15,3.45,0,1
2026-04-13,SKU_0001,hospital,smooth,136,16,3.63,0,1
2026-04-20,SKU_0001,hospital,smooth,145,17,3.77,0,1
2026-04-27,SKU_0001,hospital,smooth,145,18,3.93,0,1
2026-05-04,SKU_0001,hospital,smooth,88,19,3.77,1,1
