sku_id,pharmacy_type,name_cn,fixed_stockouts,fixed_avg_inventory,engine_stockouts,engine_avg_inventory,demand_total
SKU_0001,chain,氨氯地平片,0,62.5,0,135.6,1133
SKU_0001,hospital,氨氯地平片,1,123.9,0,198.6,1627
SKU_0001,independent,氨氯地平片,5,22.6,0,87.1,516
SKU_0002,chain,缬沙坦胶囊,2,40.6,0,86.8,1065
SKU_0002,hospital,缬沙坦胶囊,1,92.1,0,138.0,1315
SKU_0002,independent,缬沙坦胶囊,5,18.2,1,107.6,463
SKU_0003,chain,美托洛尔缓释片,1,65.4,0,78.2,779
SKU_0003,hospital,美托洛尔缓释片,1,59.3,0,136.2,1257
SKU_0003,independent,美托洛尔缓释片,2,35.4,0,65.6,388
SKU_0004,chain,硝苯地平控释片,1,57.9,0,151.2,1018
SKU_0004,hospital,硝苯地平控释片,2,108.0,0,172.4,1571
SKU_0004,independent,硝苯地平控释片,3,21.6,0,80.1,448
SKU_0005,chain,阿司匹林肠溶片,1,126.4,0,252.8,2084
SKU_0005,hospital,阿司匹林肠溶片,1,176.7,0,235.4,2792
SKU_0005,independent,阿司匹林肠溶片,0,121.1,0,211.1,1096
SKU_0006,chain,氯吡格雷片,0,92.7,0,166.1,1339
SKU_0006,hospital,氯吡格雷片,2,102.6,1,227.5,2144
SKU_0006,independent,氯吡格雷片,2,96.9,0,164.2,680
SKU_0007,chain,伊伐布雷定片,1,11.1,0,24.7,89
SKU_0007,hospital,伊伐布雷定片,3,7.4,1,34.1,137
SKU_0007,independent,伊伐布雷定片,8,2.6,4,7.6,76
SKU_0008,chain,波生坦片,8,2.4,1,10.9,106
SKU_0008,hospital,波生坦片,3,5.6,1,29.9,123
SKU_0008,independent,波生坦片,6,1.8,0,6.2,53
SKU_0009,chain,地高辛片,2,11.2,1,28.4,127
SKU_0009,hospital,地高辛片,3,31.1,0,56.2,238
SKU_0009,independent,地高辛片,1,8.9,1,30.3,45
SKU_0010,chain,胺碘酮片,3,6.6,1,31.1,69
SKU_0010,hospital,胺碘酮片,6,5.0,1,46.9,134
SKU_0010,independent,胺碘酮片,2,5.4,0,22.6,62
SKU_0011,chain,利多卡因注射液,3,11.2,0,39.3,166
SKU_0011,hospital,利多卡因注射液,6,1.2,1,67.5,166
SKU_0011,independent,利多卡因注射液,3,6.1,0,35.9,79
SKU_0012,chain,米力农注射液,3,1.1,1,4.5,28
SKU_0012,hospital,米力农注射液,3,4.2,1,16.1,61
SKU_0012,independent,米力农注射液,3,0.8,0,4.7,13
SKU_0013,chain,西地兰注射液,2,7.8,1,19.3,38
SKU_0013,hospital,西地兰注射液,2,9.7,0,29.7,90
SKU_0013,independent,西地兰注射液,5,2.2,2,12.0,55
SKU_0014,chain,酚妥拉明注射液,0,6.9,0,12.7,74
SKU_0014,hospital,酚妥拉明注射液,3,13.2,0,21.1,97
SKU_0014,independent,酚妥拉明注射液,8,1.4,0,9.7,39
SKU_0015,chain,阿托伐他汀钙片,1,91.0,0,164.9,1274
SKU_0015,hospital,阿托伐他汀钙片,1,336.4,0,429.1,4016
SKU_0015,independent,阿托伐他汀钙片,7,116.8,0,178.1,838
SKU_0016,chain,瑞舒伐他汀钙片,1,137.8,0,141.5,2147
SKU_0016,hospital,瑞舒伐他汀钙片,2,91.7,1,101.4,203
SKU_0016,independent,瑞舒伐他汀钙片,2,86.3,0,167.6,941
SKU_0017,chain,阿莫西林胶囊,2,135.0,0,208.2,1940
SKU_0017,hospital,阿莫西林胶囊,1,133.6,1,259.3,2784
SKU_0017,independent,阿莫西林胶囊,4,44.6,1,176.4,1079
SKU_0018,chain,头孢克洛胶囊,5,45.6,0,147.8,1755
SKU_0018,hospital,头孢克洛胶囊,1,172.4,0,302.9,2302
SKU_0018,independent,头孢克洛胶囊,7,37.1,0,138.5,754
SKU_0019,chain,阿奇霉素片,0,129.7,0,182.9,1557
SKU_0019,hospital,阿奇霉素片,2,145.3,0,262.4,2486
SKU_0019,independent,阿奇霉素片,4,93.2,0,301.0,1003
SKU_0020,chain,奥司他韦胶囊,1,102.3,0,134.5,1560
SKU_0020,hospital,奥司他韦胶囊,2,83.1,0,104.1,928
SKU_0020,independent,奥司他韦胶囊,3,175.3,0,210.3,644
SKU_0021,chain,扎那米韦吸入粉雾剂,1,44.6,0,61.0,422
SKU_0021,hospital,扎那米韦吸入粉雾剂,1,13.2,0,29.3,262
SKU_0021,independent,扎那米韦吸入粉雾剂,9,8.0,3,17.6,197
SKU_0022,chain,玛巴洛沙韦片,4,58.3,0,90.0,519
SKU_0022,hospital,玛巴洛沙韦片,11,2.3,1,41.9,392
SKU_0022,independent,玛巴洛沙韦片,5,22.5,0,58.9,282
SKU_0023,chain,帕拉米韦氯化钠注射液,9,5.3,0,25.9,310
SKU_0023,hospital,帕拉米韦氯化钠注射液,2,31.5,0,70.1,425
SKU_0023,independent,帕拉米韦氯化钠注射液,4,28.4,1,33.7,119
SKU_0024,chain,利奈唑胺片,8,2.1,0,17.1,129
SKU_0024,hospital,利奈唑胺片,0,29.7,0,47.9,182
SKU_0024,independent,利奈唑胺片,2,3.5,1,7.8,37
SKU_0025,chain,伏立康唑片,0,12.6,0,8.3,56
SKU_0025,hospital,伏立康唑片,3,11.8,0,31.9,125
SKU_0025,independent,伏立康唑片,4,3.0,1,8.3,52
SKU_0026,chain,卡泊芬净注射液,1,5.4,0,14.9,43
SKU_0026,hospital,卡泊芬净注射液,2,4.4,0,18.4,71
SKU_0026,independent,卡泊芬净注射液,5,3.9,0,6.6,33
SKU_0027,chain,两性霉素B脂质体,0,5.9,0,9.6,31
SKU_0027,hospital,两性霉素B脂质体,3,2.5,0,11.9,51
SKU_0027,independent,两性霉素B脂质体,4,0.8,0,4.2,8
SKU_0028,chain,替加环素注射液,1,6.6,0,16.9,35
SKU_0028,hospital,替加环素注射液,4,5.4,0,21.1,94
SKU_0028,independent,替加环素注射液,0,3.0,0,9.3,20
SKU_0029,chain,多黏菌素B注射液,0,7.0,0,10.5,24
SKU_0029,hospital,多黏菌素B注射液,4,3.3,0,17.1,57
SKU_0029,independent,多黏菌素B注射液,3,0.3,1,4.3,9
SKU_0030,chain,磷霉素氨丁三醇散,4,3.4,1,31.3,72
SKU_0030,hospital,磷霉素氨丁三醇散,5,10.0,1,42.6,143
SKU_0030,independent,磷霉素氨丁三醇散,7,7.4,2,15.6,128
SKU_0031,chain,头孢呋辛酯片,0,85.5,0,150.0,1154
SKU_0031,hospital,头孢呋辛酯片,1,326.2,0,341.1,2947
SKU_0031,independent,头孢呋辛酯片,4,29.8,0,123.7,597
SKU_0032,chain,左氧氟沙星片,0,152.3,1,128.3,1020
