sku_id,name_cn,pharmacy_type,current_stock,days_supply,safety_stock,ss_method,target_level_S,recommended_qty,order_date,risk_level,risk_reason,reason,abc_class,xyz_class,vbp_status,expiry_weeks,cold_chain
SKU_0001,氨氯地平片,chain,184,14,33.0,Classic-normal,223.0,39,2026-06-11,Green,库存健康,VBP中选品种需保障供应,A,X,selected,49,0
SKU_0001,氨氯地平片,hospital,398,23,41.9,Classic-normal,303.9,0,2026-06-11,Green,库存健康,VBP中选品种需保障供应,A,X,selected,84,0
SKU_0001,氨氯地平片,independent,74,13,26.4,Classic-normal,152.4,78,2026-06-18,Green,库存健康,VBP中选品种需保障供应,A,X,selected,129,0
SKU_0002,缬沙坦胶囊,chain,80,6,32.3,Classic-normal,174.3,94,2026-06-11,Green,库存健康,VBP中选品种需保障供应,A,X,selected,57,0
SKU_0002,缬沙坦胶囊,hospital,304,20,41.9,Classic-normal,217.9,0,2026-06-11,Green,库存健康,VBP中选品种需保障供应,A,X,selected,73,0
SKU_0002,缬沙坦胶囊,independent,44,8,24.3,Classic-normal,180.3,136,2026-06-18,Green,库存健康,VBP中选品种需保障供应,A,X,selected,47,0
SKU_0003,美托洛尔缓释片,chain,178,25,25.7,Classic-normal,127.7,0,2026-06-11,Green,库存健康,常规补货,A,X,na,123,0
SKU_0003,美托洛尔缓释片,hospital,113,9,33.6,Classic-normal,249.6,136,2026-06-11,Green,库存健康,常规补货,A,X,na,126,0
SKU_0003,美托洛尔缓释片,independent,73,18,18.8,Classic-normal,114.8,41,2026-06-18,Green,库存健康,常规补货,A,X,na,92,0
SKU_0004,硝苯地平控释片,chain,150,15,29.7,Classic-normal,243.7,93,2026-06-11,Green,库存健康,VBP中选品种需保障供应,A,X,selected,115,0
SKU_0004,硝苯地平控释片,hospital,344,20,35.9,Classic-normal,275.9,0,2026-06-11,Green,库存健康,VBP中选品种需保障供应,A,X,selected,130,0
SKU_0004,硝苯地平控释片,independent,64,18,21.9,Classic-normal,144.9,80,2026-06-18,Green,库存健康,VBP中选品种需保障供应,A,X,selected,108,0
SKU_0005,阿司匹林肠溶片,chain,388,16,74.2,Classic-normal,404.2,16,2026-06-11,Green,库存健康,常规补货,A,X,na,87,0
SKU_0005,阿司匹林肠溶片,hospital,311,10,93.2,Classic-normal,449.2,138,2026-06-11,Green,库存健康,常规补货,A,X,na,123,0
SKU_0005,阿司匹林肠溶片,independent,320,29,59.4,Classic-normal,332.4,12,2026-06-18,Green,库存健康,常规补货,A,X,na,186,0
SKU_0006,氯吡格雷片,chain,266,20,46.2,Classic-normal,264.2,0,2026-06-11,Green,库存健康,VBP中选品种需保障供应,A,X,selected,127,0
SKU_0006,氯吡格雷片,hospital,151,6,62.9,Classic-normal,420.9,269,2026-06-11,Green,库存健康,VBP中选品种需保障供应,A,X,selected,49,0
SKU_0006,氯吡格雷片,independent,335,44,33.0,Classic-normal,213.0,0,2026-06-18,Yellow,库存超过目标水位150%,VBP中选品种需保障供应；库存积压,A,X,selected,63,0
SKU_0007,伊伐布雷定片,chain,14,11,16.5,Croston-proxy,34.3,20,2026-06-11,Green,库存健康,常规补货,C,Z,na,135,0
SKU_0007,伊伐布雷定片,hospital,12,21,28.0,Croston-proxy,48.9,36,2026-06-11,Green,库存健康,常规补货,C,Z,na,100,0
SKU_0007,伊伐布雷定片,independent,12,11,12.4,Classic-normal,12.4,0,2026-06-18,Green,库存健康,常规补货,C,Z,na,95,0
SKU_0008,波生坦片,chain,13,5,9.9,Croston-proxy,15.5,2,2026-06-11,Green,库存健康,常规补货,C,Z,na,35,0
SKU_0008,波生坦片,hospital,10,10,18.6,Classic-normal,44.6,34,2026-06-11,Green,库存健康,常规补货,C,Z,na,52,0
SKU_0008,波生坦片,independent,11,18,5.9,Croston-proxy,10.6,0,2026-06-18,Green,库存健康,常规补货,C,Z,na,62,0
SKU_0009,地高辛片,chain,16,17,17.8,Croston-proxy,41.1,25,2026-06-11,Green,库存健康,常规补货,C,Z,na,168,0
SKU_0009,地高辛片,hospital,104,29,32.6,Croston-proxy,63.3,0,2026-06-11,Yellow,库存超过目标水位150%,库存积压,C,Z,na,88,0
SKU_0009,地高辛片,independent,0,0,12.9,Classic-normal,39.9,39,2026-06-18,Red,可售天数不足5天,库存告急,C,Z,na,72,0
SKU_0010,胺碘酮片,chain,12,19,21.0,Croston-proxy,41.0,29,2026-06-11,Green,库存健康,常规补货,C,Z,na,52,0
SKU_0010,胺碘酮片,hospital,7,7,37.9,Croston-proxy,63.3,56,2026-06-11,Green,库存健康,常规补货,C,Z,na,125,0
SKU_0010,胺碘酮片,independent,2,7,15.8,Croston-proxy,36.0,33,2026-06-18,Green,库存健康,常规补货,C,Z,na,112,0
SKU_0011,利多卡因注射液,chain,38,14,32.7,Croston-proxy,52.9,14,2026-06-11,Green,库存健康,常规补货,C,Z,na,78,0
SKU_0011,利多卡因注射液,hospital,17,25,62.9,Croston-proxy,91.6,74,2026-06-11,Green,库存健康,常规补货,C,Z,na,73,0
SKU_0011,利多卡因注射液,independent,15,17,21.1,Croston-proxy,49.5,34,2026-06-18,Green,库存健康,常规补货,C,Z,na,60,0
SKU_0012,米力农注射液,chain,1,4,7.4,Classic-normal,7.4,6,2026-06-11,Red,可售天数不足5天,库存告急,C,Z,na,43,0
SKU_0012,米力农注射液,hospital,1,4,14.0,Croston-proxy,23.8,22,2026-06-11,Red,可售天数不足5天,库存告急,C,Z,na,30,0
SKU_0012,米力农注射液,independent,1,10,3.3,Croston-proxy,7.0,6,2026-06-18,Green,库存健康,常规补货,C,Z,na,83,0
SKU_0013,西地兰注射液,chain,2,4,12.9,Croston-proxy,25.3,23,2026-06-11,Red,可售天数不足5天,库存告急,C,Z,na,42,0
SKU_0013,西地兰注射液,hospital,19,22,23.3,Croston-proxy,39.5,20,2026-06-11,Green,库存健康,常规补货,C,Z,na,48,0
SKU_0013,西地兰注射液,independent,7,32,8.9,Croston-proxy,19.2,12,2026-06-18,Green,库存健康,常规补货,C,Z,na,92,0
SKU_0014,酚妥拉明注射液,chain,6,12,12.1,Classic-normal,20.1,14,2026-06-11,Green,库存健康,常规补货,C,Z,na,89,0
SKU_0014,酚妥拉明注射液,hospital,37,26,23.8,Classic-normal,23.8,0,2026-06-11,Yellow,库存超过目标水位150%,库存积压,C,Z,na,55,0
SKU_0014,酚妥拉明注射液,independent,10,20,7.4,Croston-proxy,14.9,4,2026-06-18,Green,库存健康,常规补货,C,Z,na,92,0
SKU_0015,阿托伐他汀钙片,chain,200,12,49.5,Classic-normal,265.5,65,2026-06-11,Green,库存健康,VBP中选品种需保障供应,A,X,selected,112,0
SKU_0015,阿托伐他汀钙片,hospital,1065,23,62.9,Classic-normal,642.9,0,2026-06-11,Yellow,库存超过目标水位150%,VBP中选品种需保障供应；库存积压,A,X,selected,80,0
SKU_0015,阿托伐他汀钙片,independent,424,41,39.6,Classic-normal,192.6,0,2026-06-18,Yellow,库存超过目标水位150%,VBP中选品种需保障供应；库存积压,A,X,selected,97,0
SKU_0016,瑞舒伐他汀钙片,chain,162,8,46.2,Classic-normal,316.2,154,2026-06-11,Green,库存健康,常规补货,A,X,non_selected,73,0
SKU_0016,瑞舒伐他汀钙片,hospital,137,24,58.7,Classic-normal,58.7,0,2026-06-11,Yellow,库存超过目标水位150%,库存积压,A,X,non_selected,88,0
SKU_0016,瑞舒伐他汀钙片,independent,317,36,37.1,Classic-normal,268.1,0,2026-06-18,Green,库存健康,常规补货,A,X,non_selected,95,0
SKU_0017,阿莫西林胶囊,chain,326,18,69.3,Classic-normal,353.3,27,2026-06-11,Green,库存健康,常规补货,A,X,na,101,0
SKU_0017,阿莫西林胶囊,hospital,175,5,93.2,Classic-normal,501.2,326,2026-06-11,Green,库存健康,常规补货,A,X,na,134,0
SKU_0017,阿莫西林胶囊,independent,88,8,52.0,Classic-normal,337.0,248,2026-06-18,Green,库存健康,常规补货,A,X,na,80,0
SKU_0018,头孢克洛胶囊,chain,287,12,58.1,Classic-normal,262.1,0,2026-06-11,Green,库存健康,常规补货,A,X,na,93,0
SKU_0018,头孢克洛胶囊,hospital,661,27,82.0,Classic-normal,432.0,0,2026-06-11,Yellow,库存超过目标水位150%,库存积压,A,X,na,119,0
SKU_0018,头孢克洛胶囊,independent,212,23,43.6,Classic-normal,214.6,2,2026-06-18,Green,库存健康,常规补货,A,X,na,68,0
SKU_0019,阿奇霉素片,chain,210,10,60.1,Classic-normal,306.1,96,2026-06-11,Green,库存健康,常规补货,A,X,na,137,0
SKU_0019,阿奇霉素片,hospital,309,12,75.5,Classic-normal,465.5,156,2026-06-11,Green,库存健康,常规补货,A,X,na,128,0
SKU_0019,阿奇霉素片,independent,398,42,45.0,Classic-normal,417.0,19,2026-06-18,Green,库存健康,常规补货,A,X,na,63,0
SKU_0020,奥司他韦胶囊,chain,354,21,0.1,PI-width,159.7,0,2026-06-11,Yellow,库存超过目标水位150%,库存积压,A,Y,na,57,0
SKU_0020,奥司他韦胶囊,hospital,291,25,0.1,PI-width,147.2,0,2026-06-11,Yellow,库存超过目标水位150%,库存积压,A,Y,na,126,0
SKU_0020,奥司他韦胶囊,independent,412,41,0.1,PI-width,130.6,0,2026-06-18,Yellow,库存超过目标水位150%,库存积压,A,Y,na,90,0
SKU_0021,扎那米韦吸入粉雾剂,chain,149,25,24.8,Classic-normal,70.8,0,2026-06-11,Yellow,库存超过目标水位150%,库存积压,B,Y,na,36,0
SKU_0021,扎那米韦吸入粉雾剂,hospital,52,13,17.5,Classic-normal,45.5,0,2026-06-11,Green,库存健康,常规补货,B,Y,na,89,0
SKU_0021,扎那米韦吸入粉雾剂,independent,45,16,13.2,Croston-proxy,30.0,0,2026-06-18,Green,库存健康,常规补货,B,Y,na,68,0
SKU_0022,玛巴洛沙韦片,chain,206,25,31.8,Classic-normal,103.8,0,2026-06-11,Yellow,库存超过目标水位150%,库存积压,B,Y,na,39,0
SKU_0022,玛巴洛沙韦片,hospital,25,5,21.0,Classic-normal,77.0,51,2026-06-11,Green,库存健康,常规补货,B,Y,na,62,0
SKU_0022,玛巴洛沙韦片,independent,88,23,18.6,Classic-normal,84.6,0,2026-06-18,Green,库存健康,常规补货,B,Y,na,82,0
SKU_0023,帕拉米韦氯化钠注射液,chain,36,7,19.8,Classic-normal,47.8,11,2026-06-11,Green,库存健康,常规补货,B,Z,na,74,0
SKU_0023,帕拉米韦氯化钠注射液,hospital,138,28,35.0,Classic-normal,93.0,0,2026-06-11,Green,库存健康,常规补货,B,Z,na,75,0
SKU_0023,帕拉米韦氯化钠注射液,independent,62,27,9.1,Croston-proxy,21.5,0,2026-06-18,Yellow,库存超过目标水位150%,库存积压,B,Z,na,49,0
SKU_0024,利奈唑胺片,chain,7,14,18.8,Croston-proxy,30.8,23,2026-06-11,Green,库存健康,常规补货,C,Z,na,47,0
